Loading repository data...
Reading installed packages...

S  | Name                                       | Type    | Version                                | Arch   | Repository
i  | ghc-base16-bytestring                      | package | 1.0.2.0-3.8                            | x86_64 | Main Repository (OSS)
i  | ghc-base64-bytestring                      | package | 1.2.1.0-3.12                           | x86_64 | Main Repository (OSS)
i  | ghc-basement                               | package | 0.0.16-1.14                            | x86_64 | Main Repository (OSS)
i  | ghc-bifunctors                             | package | 5.6.2-1.7                              | x86_64 | Main Repository (OSS)
i  | ghc-binary                                 | package | 0.8.9.1-1.1                            | x86_64 | Main Repository (OSS)
i  | ghc-bitvec                                 | package | 1.1.5.0-2.5                            | x86_64 | Main Repository (OSS)
i  | ghc-blaze-builder                          | package | 0.4.2.3-1.9                            | x86_64 | Main Repository (OSS)
i  | ghc-blaze-html                             | package | 0.9.2.0-2.2                            | x86_64 | Main Repository (OSS)
i  | ghc-blaze-markup                           | package | 0.8.3.0-3.2                            | x86_64 | Main Repository (OSS)
i  | ghc-byteorder                              | package | 1.0.4-4.10                             | x86_64 | Main Repository (OSS)
