Loading repository data...
Reading installed packages...

S  | Name                                       | Type    | Version                                | Arch   | Repository
i  | ghc-bytestring                             | package | 0.12.1.0-1.1                           | x86_64 | Main Repository (OSS)
i  | ghc-case-insensitive                       | package | 1.2.1.0-6.16                           | x86_64 | Main Repository (OSS)
i  | ghc-cassava                                | package | 0.5.3.2-1.3                            | x86_64 | Main Repository (OSS)
i  | ghc-cborg                                  | package | 0.2.10.0-2.2                           | x86_64 | Main Repository (OSS)
i  | ghc-cereal                                 | package | 0.5.8.3-2.17                           | x86_64 | Main Repository (OSS)
i  | ghc-character-ps                           | package | 0.1-1.2                                | x86_64 | Main Repository (OSS)
i  | ghc-citeproc                               | package | 0.8.1.1-2.2                            | x86_64 | Main Repository (OSS)
i  | ghc-colour                                 | package | 2.3.6-2.17                             | x86_64 | Main Repository (OSS)
i  | ghc-commonmark                             | package | 0.2.6.1-1.1                            | x86_64 | Main Repository (OSS)
i  | ghc-commonmark-extensions                  | package | 0.2.5.5-1.2                            | x86_64 | Main Repository (OSS)
i  | ghc-commonmark-pandoc                      | package | 0.2.2.2-1.2                            | x86_64 | Main Repository (OSS)
i  | ghc-comonad                                | package | 5.0.8-4.11                             | x86_64 | Main Repository (OSS)
i  | ghc-conduit                                | package | 1.3.6-1.3                              | x86_64 | Main Repository (OSS)
i  | ghc-conduit-extra                          | package | 1.3.6-2.36                             | x86_64 | Main Repository (OSS)
i  | ghc-containers                             | package | 0.6.8-1.1                              | x86_64 | Main Repository (OSS)
i  | ghc-contravariant                          | package | 1.5.5-2.17                             | x86_64 | Main Repository (OSS)
i  | ghc-cookie                                 | package | 0.4.6-2.10                             | x86_64 | Main Repository (OSS)
i  | ghc-crypton                                | package | 1.0.1-1.1                              | x86_64 | Main Repository (OSS)
i  | ghc-crypton-connection                     | package | 0.3.2-2.4                              | x86_64 | Main Repository (OSS)
i  | ghc-crypton-x509                           | package | 1.7.7-1.4                              | x86_64 | Main Repository (OSS)
i  | ghc-crypton-x509-store                     | package | 1.6.9-1.10                             | x86_64 | Main Repository (OSS)
i  | ghc-crypton-x509-system                    | package | 1.6.7-1.10                             | x86_64 | Main Repository (OSS)
i  | ghc-crypton-x509-validation                | package | 1.6.12-1.10                            | x86_64 | Main Repository (OSS)
i  | ghc-data-default                           | package | 0.7.1.3-1.1                            | x86_64 | Main Repository (OSS)
i  | ghc-data-default-class                     | package | 0.1.2.2-1.1                            | x86_64 | Main Repository (OSS)
i  | ghc-data-default-instances-containers      | package | 0.1.0.3-1.1                            | x86_64 | Main Repository (OSS)
i  | ghc-data-default-instances-dlist           | package | 0.0.1.2-1.1                            | x86_64 | Main Repository (OSS)
i  | ghc-data-default-instances-old-locale      | package | 0.0.1.2-1.1                            | x86_64 | Main Repository (OSS)
i  | ghc-data-fix                               | package | 0.3.4-1.2                              | x86_64 | Main Repository (OSS)
i  | ghc-deepseq                                | package | 1.5.1.0-1.1                            | x86_64 | Main Repository (OSS)
i  | ghc-digest                                 | package | 0.0.2.1-1.6                            | x86_64 | Main Repository (OSS)
i  | ghc-directory                              | package | 1.3.8.5-1.1                            | x86_64 | Main Repository (OSS)
